"img","k","black","blue","brown","green","grey","orange","purple","red","white","yellow","method"
"Chaetodon_madagaskariensis.png",4,0,1,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_melannotus.png",6,1,1,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_mertensii.png",5,1,1,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_mesoleucos.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Chaetodon_meyeri.png",5,1,0,0,1,1,0,0,0,1,1,"charisma"
"Chaetodon_miliaris.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Chaetodon_multicinctus.png",5,1,1,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_ocellatus.png",5,0,1,0,1,1,0,0,0,1,1,"charisma"
"Chaetodon_ocellicaudus.png",6,1,1,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_octofasciatus.png",4,1,0,0,0,0,1,0,0,1,1,"charisma"
"Chaetodon_ornatissimus.png",6,1,1,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_oxycephalus.png",4,1,1,0,1,0,0,0,0,1,0,"charisma"
"Chaetodon_paucifasciatus.png",5,0,1,0,0,1,1,0,1,1,0,"charisma"
"Chaetodon_pelewensis.png",5,1,0,0,0,0,1,1,1,1,0,"charisma"
"Chaetodon_plebeius.png",4,1,1,0,0,0,1,0,0,0,1,"charisma"
"Chaetodon_punctatofasciatus.png",4,1,0,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_quadrimaculatus.png",4,1,0,0,1,0,0,0,0,1,1,"charisma"
"Chaetodon_rafflesii.png",3,1,0,0,0,0,1,1,0,0,0,"charisma"
"Chaetodon_rainfordi.png",3,0,0,0,0,0,1,0,0,1,1,"charisma"
"Chaetodon_reticulatus.png",6,1,1,0,0,1,1,1,0,1,0,"charisma"
"Chaetodon_robustus.png",5,0,1,0,1,0,1,0,0,1,1,"charisma"
"Chaetodon_sanctaehelenae.png",3,1,1,0,0,0,0,0,0,1,0,"charisma"
"Chaetodon_sedentarius.png",4,1,0,0,0,0,1,0,0,1,1,"charisma"
"Chaetodon_selene.png",3,1,0,0,0,1,0,0,0,1,0,"charisma"
"Chaetodon_semeion.png",3,1,1,0,0,0,1,0,0,0,0,"charisma"
"Chaetodon_semilarvatus.png",1,0,0,0,0,0,1,0,0,0,0,"charisma"
"Chaetodon_speculum.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Chaetodon_striatus.png",5,1,0,0,1,1,0,0,0,1,1,"charisma"
"Chaetodon_tinkeri.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Chaetodon_trichrous.png",2,1,0,0,0,0,1,0,0,0,0,"charisma"
"Chaetodon_tricinctus.png",3,1,0,0,0,1,0,0,0,1,0,"charisma"
"Chaetodon_trifascialis.png",4,1,0,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_trifasciatus.png",4,0,1,0,0,0,0,1,1,1,0,"charisma"
"Chaetodon_ulietensis.png",5,1,0,0,0,1,1,1,0,1,0,"charisma"
"Chaetodon_unimaculatus.png",5,1,0,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_vagabundus.png",4,1,0,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_xanthurus.png",5,1,1,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_zanzibarensis.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Chelmon_marginalis.png",6,0,1,0,1,1,1,0,0,1,1,"charisma"
"Chelmon_muelleri.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Chelmon_rostratus.png",5,0,1,0,0,1,1,1,0,1,0,"charisma"
"Chelmonops_curiosus.png",5,1,1,0,1,1,0,0,0,1,0,"charisma"
"Chelmonops_truncatus.png",3,1,0,0,0,1,0,1,0,0,0,"charisma"
"Coradion_altivelis.png",6,1,1,0,0,1,1,1,0,1,0,"charisma"
"Coradion_chrysozonus.png",6,1,1,0,1,1,1,0,0,1,0,"charisma"
"Coradion_melanopus.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Forcipiger_flavissimus.png",3,0,0,0,0,1,1,0,0,1,0,"charisma"
"Forcipiger_longirostris.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Hemitaurichthys_polylepis.png",3,0,0,0,0,1,1,0,0,1,0,"charisma"
"Hemitaurichthys_thompsoni.png",3,0,1,0,0,1,0,0,0,1,0,"charisma"
"Hemitaurichthys_zoster.png",5,1,1,0,0,1,0,1,0,1,0,"charisma"
"Heniochus_acuminatus.png",5,1,1,0,0,1,0,0,0,1,1,"charisma"
"Heniochus_chrysostomus.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Heniochus_diphreutes.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Heniochus_monoceros.png",4,1,0,0,0,1,1,0,0,1,0,"charisma"
"Heniochus_pleurotaenia.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Heniochus_singularius.png",6,1,1,0,0,1,1,0,0,1,1,"charisma"
"Heniochus_varius.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Johnrandallia_nigrirostris.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Parachaetodon_ocellatus.png",3,0,1,0,0,1,0,0,0,1,0,"charisma"
"Prognathodes_aculeatus.png",5,1,1,0,0,1,1,0,0,1,0,"charisma"
"Prognathodes_aya.png",6,1,1,0,1,1,0,0,0,1,1,"charisma"
"Prognathodes_marcellae.png",4,1,1,0,1,0,0,0,0,0,1,"charisma"
